Time,Trolley Acceleration,Pendulum Angular Acceleration
0,-5,50
0.001,-7.5,75
0.002,-8.74937,87.4913
0.003,-9.373,93.7239
0.004,-9.6826,96.8119
0.005,-9.83489,98.3265
0.006,-9.9073,99.0376
0.007,-9.93952,99.3467
0.008,-9.95039,99.4374
0.009,-9.95034,99.419
0.01,-9.94359,99.3286
0.011,-9.93324,99.2022
0.012,-9.91984,99.0404
0.013,-9.90467,98.861
0.014,-9.88738,98.6554
0.015,-9.86878,98.4368
0.016,-9.84828,98.1943
0.017,-9.82659,97.9398
0.018,-9.80306,97.6622
0.019,-9.77837,97.3729
0.02,-9.75186,97.0607
0.021,-9.7242,96.7369
0.022,-9.69474,96.3902
0.023,-9.66412,96.0321
0.024,-9.63171,95.6512
0.025,-9.59816,95.2588
0.026,-9.56281,94.8438
0.027,-9.52632,94.4173
0.028,-9.48805,93.9683
0.029,-9.44864,93.5079
0.03,-9.40746,93.0251
0.031,-9.36515,92.531
0.032,-9.32108,92.0146
0.033,-9.27588,91.4869
0.034,-9.22893,90.9371
0.035,-9.18086,90.376
0.036,-9.13105,89.7931
0.037,-9.08014,89.1989
0.038,-9.02749,88.5831
0.039,-8.97375,87.9561
0.04,-8.91829,87.3076
0.041,-8.86174,86.6481
0.042,-8.80349,85.9673
0.043,-8.74416,85.2755
0.044,-8.68315,84.5627
0.045,-8.62107,83.8391
0.046,-8.55733,83.0946
0.047,-8.49253,82.3395
0.048,-8.42609,81.5638
0.049,-8.3586,80.7776
0.05,-8.28949,79.971
0.051,-8.21935,79.1541
0.052,-8.14762,78.3172
0.053,-8.07487,77.4701
0.054,-8.00054,76.6033
0.055,-7.92521,75.7264
0.056,-7.84834,74.8303
0.057,-7.77049,73.9242
0.058,-7.69112,72.9992
0.059,-7.61078,72.0645
0.06,-7.52895,71.1113
0.061,-7.44618,70.1486
0.062,-7.36195,69.1677
0.063,-7.27679,68.1776
0.064,-7.19022,67.1698
0.065,-7.10274,66.1529
0.066,-7.01387,65.1188
0.067,-6.92412,64.0759
0.068,-6.83302,63.0162
0.069,-6.74106,61.9481
0.07,-6.64779,60.8636
0.071,-6.55369,59.7709
0.072,-6.45831,58.6624
0.073,-6.36213,57.546
0.074,-6.26472,56.4144
0.075,-6.16654,55.2751
0.076,-6.06716,54.1212
0.077,-5.96704,52.9599
0.078,-5.86578,51.7846
0.079,-5.7638,50.6023
0.08,-5.66072,49.4065
0.081,-5.55696,48.204
0.082,-5.45216,46.9887
0.083,-5.3467,45.7671
0.084,-5.24024,44.5333
0.085,-5.13316,43.2935
0.086,-5.02513,42.0422
0.087,-4.91653,40.7853
0.088,-4.80702,39.5175
0.089,-4.69697,38.2446
0.09,-4.58607,36.9614
0.091,-4.47467,35.6735
0.092,-4.36247,34.3761
0.093,-4.24981,33.0743
0.094,-4.13641,31.7637
0.095,-4.02258,30.4492
0.096,-3.90806,29.1266
0.097,-3.79316,27.8005
0.098,-3.67763,26.467
0.099,-3.56174,25.1304
0.1,-3.4453,23.7872
0.101,-3.32854,22.4414
0.102,-3.21127,21.0897
0.103,-3.09373,19.7358
0.104,-2.97573,18.3767
0.105,-2.85751,17.0159
0.106,-2.7389,15.6506
0.107,-2.6201,14.2841
0.108,-2.50096,12.9139
0.109,-2.38167,11.5428
0.11,-2.26211,10.1689
0.111,-2.14245,8.79446
0.112,-2.02257,7.41792
0.113,-1.90262,6.04137
0.114,-1.78251,4.66343
0.115,-1.66238,3.28592
0.116,-1.54215,1.90775
0.117,-1.42193,0.530437
0.118,-1.30167,-0.84679
0.119,-1.18147,-2.22275
0.12,-1.06128,-3.59789
0.121,-0.941187,-4.97135
0.122,-0.821162,-6.34328
0.123,-0.701271,-7.71312
0.124,-0.581505,-9.08073
0.125,-0.461912,-10.4458
0.126,-0.342497,-11.808
0.127,-0.223291,-13.1674
0.128,-0.104318,-14.5231
0.129,0.0144106,-15.8756
0.13,0.132854,-17.2238
0.131,0.251018,-18.5684
0.132,0.368847,-19.9081
0.133,0.486361,-21.2438
0.134,0.60349,-22.574
0.135,0.720273,-23.8999
0.136,0.836623,-25.2197
0.137,0.952595,-26.5348
0.138,1.06809,-27.8433
0.139,1.18317,-29.1468
0.14,1.29773,-30.443
0.141,1.41185,-31.734
0.142,1.5254,-33.0171
0.143,1.63849,-34.2947
0.144,1.75097,-35.564
0.145,1.86296,-36.8276
0.146,1.97429,-38.0822
0.147,2.08512,-39.3309
0.148,2.19525,-40.5702
0.149,2.30484,-41.8034
0.15,2.41371,-43.0266
0.151,2.52202,-44.2435
0.152,2.62957,-45.4502
0.153,2.73654,-46.6502
0.154,2.84271,-47.8395
0.155,2.94829,-49.0221
0.156,3.05304,-50.1936
0.157,3.15717,-51.3583
0.158,3.26045,-52.5114
0.159,3.3631,-53.6575
0.16,3.46486,-54.7918
0.161,3.56598,-55.9189
0.162,3.66618,-57.0339
0.163,3.76573,-58.1417
0.164,3.86435,-59.2369
0.165,3.96229,-60.3249
0.166,4.05928,-61.4001
0.167,4.15559,-62.4678
0.168,4.25091,-63.5226
0.169,4.34555,-64.5699
0.17,4.43919,-65.604
0.171,4.53213,-66.6305
0.172,4.62405,-67.6436
0.173,4.71527,-68.649
0.174,4.80546,-69.6409
0.175,4.89494,-70.6251
0.176,4.98336,-71.5954
0.177,5.07108,-72.5582
0.178,5.15773,-73.5069
0.179,5.24366,-74.448
0.18,5.32852,-75.375
0.181,5.41266,-76.2943
0.182,5.49571,-77.1994
0.183,5.57804,-78.0968
0.184,5.65926,-78.9798
0.185,5.73977,-79.8553
0.186,5.81917,-80.7162
0.187,5.89785,-81.5695
0.188,5.97541,-82.4083
0.189,6.05225,-83.2395
0.19,6.12797,-84.0561
0.191,6.20297,-84.8652
0.192,6.27683,-85.6595
0.193,6.34998,-86.4464
0.194,6.42199,-87.2184
0.195,6.49328,-87.9831
0.196,6.56344,-88.7329
0.197,6.63288,-89.4754
0.198,6.70117,-90.203
0.199,6.76876,-90.9233
0.2,6.83519,-91.6287
0.201,6.90092,-92.3269
0.202,6.96549,-93.0101
0.203,7.02936,-93.6861
0.204,7.09207,-94.3472
0.205,7.15408,-95.0011
0.206,7.21493,-95.6401
0.207,7.27509,-96.272
0.208,7.33408,-96.8889
0.209,7.39238,-97.4988
0.21,7.44952,-98.0937
0.211,7.50597,-98.6817
0.212,7.56125,-99.2546
0.213,7.61584,-99.8207
0.214,7.66927,-100.372
0.215,7.72201,-100.916
0.216,7.77358,-101.445
0.217,7.82448,-101.968
0.218,7.8742,-102.475
0.219,7.92324,-102.975
0.22,7.97111,-103.461
0.221,8.01831,-103.94
0.222,8.06432,-104.404
0.223,8.10967,-104.861
0.224,8.15383,-105.303
0.225,8.19733,-105.738
0.226,8.23964,-106.158
0.227,8.28128,-106.572
0.228,8.32174,-106.971
0.229,8.36153,-107.363
0.23,8.40012,-107.739
0.231,8.43806,-108.11
0.232,8.47479,-108.465
0.233,8.51086,-108.813
0.234,8.54573,-109.146
0.235,8.57993,-109.473
0.236,8.61293,-109.784
0.237,8.64526,-110.089
0.238,8.67637,-110.378
0.239,8.70682,-110.661
0.24,8.73604,-110.929
0.241,8.7646,-111.19
0.242,8.79193,-111.435
0.243,8.81858,-111.674
0.244,8.844,-111.897
0.245,8.86875,-112.113
0.246,8.89224,-112.314
0.247,8.91506,-112.508
0.248,8.93663,-112.686
0.249,8.9575,-112.858
0.25,8.97712,-113.013
0.251,8.99603,-113.162
0.252,9.01368,-113.295
0.253,9.03063,-113.421
0.254,9.04629,-113.53
0.255,9.06124,-113.633
0.256,9.0749,-113.719
0.257,9.08784,-113.799
0.258,9.09947,-113.861
0.259,9.11037,-113.917
0.26,9.11995,-113.956
0.261,9.1288,-113.988
0.262,9.13631,-114.003
0.263,9.14307,-114.011
0.264,9.14848,-114.001
0.265,9.15313,-113.984
0.266,9.15641,-113.95
0.267,9.15892,-113.908
0.268,9.16005,-113.849
0.269,9.16039,-113.782
0.27,9.15933,-113.698
0.271,9.15747,-113.605
0.272,9.1542,-113.495
0.273,9.15011,-113.377
0.274,9.14459,-113.24
0.275,9.13823,-113.095
0.276,9.13043,-112.932
0.277,9.12178,-112.761
0.278,9.11165,-112.571
0.279,9.10066,-112.372
0.28,9.08819,-112.155
0.281,9.07482,-111.928
0.282,9.05995,-111.683
0.283,9.04418,-111.429
0.284,9.02689,-111.155
0.285,9.00867,-110.872
0.286,8.9889,-110.57
0.287,8.9682,-110.258
0.288,8.94592,-109.926
0.289,8.92269,-109.585
0.29,8.89788,-109.224
0.291,8.87208,-108.852
0.292,8.84468,-108.461
0.293,8.81628,-108.059
0.294,8.78625,-107.637
0.295,8.7552,-107.204
0.296,8.72251,-106.751
0.297,8.68878,-106.286
0.298,8.65339,-105.801
