Time,Total Mechanical Energy,Moving Average
0,-97.1,-97.1
0.0001,-97.1,-97.1
0.0002,-97.1,-97.1
0.0003,-97.1,-97.1
0.0004,-97.1,-97.1
0.0005,-97.1,-97.1
0.0006,-97.1,-97.1
0.0007,-97.1,-97.1
0.0008,-97.1,-97.1
0.0009,-97.1,-97.1
0.001,-97.1,-97.1
0.0011,-97.1,-97.1
0.0012,-97.1,-97.1
0.0013,-97.1,-97.1
0.0014,-97.1,-97.1
0.0015,-97.1,-97.1
0.0016,-97.1,-97.1
0.0017,-97.1,-97.1
0.0018,-97.1,-97.1
0.0019,-97.1,-97.1
0.002,-97.1,-97.1
0.0021,-97.1,-97.1
0.0022,-97.1,-97.1
0.0023,-97.1,-97.1
0.0024,-97.1,-97.1
0.0025,-97.1,-97.1
0.0026,-97.1,-97.1
0.0027,-97.1,-97.1
0.0028,-97.1,-97.1
0.0029,-97.1,-97.1
0.003,-97.1,-97.1
0.0031,-97.1,-97.1
0.0032,-97.1,-97.1
0.0033,-97.1,-97.1
0.0034,-97.1,-97.1
0.0035,-97.1,-97.1
0.0036,-97.1,-97.1
0.0037,-97.1,-97.1
0.0038,-97.1,-97.1
0.0039,-97.1,-97.1
0.004,-97.1,-97.1
0.0041,-97.1,-97.1
0.0042,-97.1,-97.1
0.0043,-97.1,-97.1
0.0044,-97.1,-97.1
0.0045,-97.1,-97.1
0.0046,-97.0999,-97.1
0.0047,-97.0999,-97.1
0.0048,-97.0999,-97.1
0.0049,-97.0999,-97.1
0.005,-97.0999,-97.1
0.0051,-97.0999,-97.1
0.0052,-97.0999,-97.1
0.0053,-97.0999,-97.1
0.0054,-97.0999,-97.1
0.0055,-97.0999,-97.1
0.0056,-97.0999,-97.1
0.0057,-97.0999,-97.1
0.0058,-97.0999,-97.1
0.0059,-97.0999,-97.1
0.006,-97.0998,-97.1
0.0061,-97.0998,-97.1
0.0062,-97.0998,-97.1
0.0063,-97.0998,-97.1
0.0064,-97.0998,-97.1
0.0065,-97.0998,-97.1
0.0066,-97.0998,-97.1
0.0067,-97.0998,-97.1
0.0068,-97.0998,-97.0999
0.0069,-97.0997,-97.0999
0.007,-97.0997,-97.0999
0.0071,-97.0997,-97.0999
0.0072,-97.0997,-97.0999
0.0073,-97.0997,-97.0999
0.0074,-97.0997,-97.0999
0.0075,-97.0996,-97.0999
0.0076,-97.0996,-97.0999
0.0077,-97.0996,-97.0999
0.0078,-97.0996,-97.0999
0.0079,-97.0996,-97.0999
0.008,-97.0995,-97.0999
0.0081,-97.0995,-97.0999
0.0082,-97.0995,-97.0999
0.0083,-97.0995,-97.0999
0.0084,-97.0994,-97.0999
0.0085,-97.0994,-97.0999
0.0086,-97.0994,-97.0999
0.0087,-97.0993,-97.0999
0.0088,-97.0993,-97.0999
0.0089,-97.0993,-97.0999
0.009,-97.0993,-97.0998
0.0091,-97.0992,-97.0998
0.0092,-97.0992,-97.0998
0.0093,-97.0992,-97.0998
0.0094,-97.0991,-97.0998
0.0095,-97.0991,-97.0998
0.0096,-97.099,-97.0998
0.0097,-97.099,-97.0998
0.0098,-97.099,-97.0998
0.0099,-97.0989,-97.0998
0.01,-97.0989,-97.0998
0.0101,-97.0988,-97.0998
0.0102,-97.0988,-97.0997
0.0103,-97.0987,-97.0997
0.0104,-97.0987,-97.0997
0.0105,-97.0986,-97.0997
0.0106,-97.0986,-97.0997
0.0107,-97.0985,-97.0997
0.0108,-97.0985,-97.0997
0.0109,-97.0984,-97.0997
0.011,-97.0984,-97.0997
0.0111,-97.0983,-97.0997
0.0112,-97.0982,-97.0996
0.0113,-97.0982,-97.0996
0.0114,-97.0981,-97.0996
0.0115,-97.098,-97.0996
0.0116,-97.098,-97.0996
0.0117,-97.0979,-97.0996
0.0118,-97.0978,-97.0996
0.0119,-97.0978,-97.0995
0.012,-97.0977,-97.0995
0.0121,-97.0976,-97.0995
0.0122,-97.0975,-97.0995
0.0123,-97.0974,-97.0995
0.0124,-97.0974,-97.0995
0.0125,-97.0973,-97.0994
0.0126,-97.0972,-97.0994
0.0127,-97.0971,-97.0994
0.0128,-97.097,-97.0994
0.0129,-97.0969,-97.0994
0.013,-97.0968,-97.0993
0.0131,-97.0967,-97.0993
0.0132,-97.0966,-97.0993
0.0133,-97.0965,-97.0993
0.0134,-97.0964,-97.0993
0.0135,-97.0963,-97.0992
0.0136,-97.0962,-97.0992
0.0137,-97.0961,-97.0992
0.0138,-97.096,-97.0992
0.0139,-97.0959,-97.0992
0.014,-97.0957,-97.0991
0.0141,-97.0956,-97.0991
0.0142,-97.0955,-97.0991
0.0143,-97.0954,-97.0991
0.0144,-97.0952,-97.099
0.0145,-97.0951,-97.099
0.0146,-97.095,-97.099
0.0147,-97.0948,-97.0989
